training 0	Can't wait to go step again . But first ; Remedial Training . One point to ippt gold really damn suck
training 0	A day after 2 back-to-back camps with little sleep ; poor food and zero training ; I'm back in the gym
training 0	@AfrojackDani Buto mentally straining sia ! Route all the way in camp sia
training 0	Brother will be in camp for 2mths training . Having the room all to myself . But it gets boring and lonely sleeping alone .
training 0	PUSH ; TURN ; ROLL OVER ! ! #BAC #neckpain #rollmanymanytimes @ Commando Training Camp @ Pasir Ris
training 0	ACK : A20146568 New : Make-Up Training ( Low Key ) from 15/12 / 2014 ; 0800 hrs to 19/12 / 2014 ; 2359 hrs at Sungei Gedong Camp . #fml
training 0	Once again . zzz ( @ Commando Training Institude in Singapore )
training 0	Damn specialist cadet training is killing me already
training 0	Commando Training Is Def Tough .
training 0	LOL what do they do can pls elaborate hahah the selection like what one and the mind fuck training like what ? torture training ? o_0
training 0	training like a shittt lol me aslo can do better than this because this is not a pro training noob ...
